,Team,Points,Wins,Draws,Looses,HomeWins,HomeDraws,HomeLooses,AwayWins,AwayDraws,AwayLooses,Goals,GoalsAgainst,HomeGoals,AwayGoals,HomeGoalsAgainst,AwayGoalsAgainst,Position,Shoots,ShootsAgainst,HomeShoots,AwayShoots,HomeShootsAgainst,AwayShootsAgainst,ShootsOnTarget,ShootsAgainstOnTarget,HomeShootsOnTarget,AwayShootsOnTarget,HomeShootsAgainstOnTarget,AwayShootsAgainstOnTarget,ShootsHitWoodwork,ShootsAgainstHitWoodwork,HomeShootsHitWoodwork,AwayShootsHitWoodwork,HomeShootsAgainstHitWoodwork,AwayShootsAgainstHitWoodwork,Corners,CornersAgainst,HomeCorners,AwayCorners,HomeCornersAgainst,AwayCornersAgainst,Fouls,FoulsReceived,HomeFouls,AwayFouls,HomeFoulsReceived,AwayFoulsReceived,Offsides,OffsidesAgainst,HomeOffsides,AwayOffsides,HomeOffsidesAgainst,AwayOffsidesAgainst,YellowCards,YellowCardsAgainst,HomeYellowCards,AwayYellowCards,HomeYellowCardsAgainst,AwayYellowCardsAgainst,RedCards,RedCardsAgainst,HomeRedCards,AwayRedCards,HomeRedCardsAgainst,AwayRedCardsAgainst
13,Levante,9.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,8.0,8.0,7.0,1.0,3.0,5.0,0.0,73.0,78.0,60.0,13.0,46.0,32.0,19.0,29.0,19.0,3.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,39.0,21.0,6.0,20.0,19.0,84.0,66.0,63.0,21.0,48.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Sociedad,9.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,13.0,13.0,6.0,7.0,6.0,7.0,0.0,84.0,77.0,43.0,41.0,37.0,40.0,20.0,29.0,20.0,13.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,29.0,21.0,17.0,16.0,13.0,71.0,93.0,35.0,36.0,50.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ath Bilbao,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,3.0,4.0,2.0,4.0,0.0,60.0,76.0,31.0,29.0,35.0,41.0,13.0,33.0,13.0,16.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,26.0,19.0,10.0,10.0,16.0,85.0,87.0,47.0,38.0,45.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Getafe,8.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,8.0,5.0,5.0,3.0,3.0,2.0,0.0,74.0,50.0,45.0,29.0,19.0,31.0,15.0,22.0,15.0,8.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,25.0,17.0,12.0,13.0,12.0,102.0,79.0,46.0,56.0,40.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Espanol,8.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,7.0,9.0,6.0,1.0,3.0,6.0,0.0,71.0,87.0,43.0,28.0,44.0,43.0,10.0,33.0,10.0,10.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,16.0,15.0,12.0,20.0,78.0,77.0,38.0,40.0,35.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Villarreal,7.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,9.0,3.0,3.0,1.0,8.0,0.0,65.0,80.0,28.0,37.0,18.0,62.0,12.0,28.0,12.0,9.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,38.0,9.0,17.0,8.0,30.0,103.0,72.0,26.0,77.0,19.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Celta,7.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,10.0,8.0,4.0,6.0,4.0,4.0,0.0,74.0,56.0,44.0,30.0,28.0,28.0,12.0,18.0,12.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,17.0,15.0,10.0,11.0,66.0,88.0,38.0,28.0,49.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Eibar,6.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,14.0,1.0,2.0,5.0,9.0,0.0,66.0,58.0,33.0,33.0,25.0,33.0,9.0,32.0,9.0,12.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,16.0,19.0,8.0,16.0,85.0,70.0,43.0,42.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Las Palmas,6.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,5.0,10.0,2.0,3.0,7.0,3.0,0.0,51.0,78.0,30.0,21.0,28.0,50.0,10.0,35.0,10.0,12.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,14.0,4.0,10.0,20.0,64.0,111.0,32.0,32.0,43.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Girona,5.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,8.0,3.0,0.0,6.0,2.0,0.0,75.0,57.0,54.0,21.0,38.0,19.0,12.0,23.0,12.0,7.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,25.0,7.0,7.0,12.0,99.0,92.0,61.0,38.0,54.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
